frame,common_gt_count,det_pred_count,seg_pred_count,det_count_error_commonGT,seg_count_error_commonGT,det_abs_count_error_commonGT,seg_abs_count_error_commonGT,det_gt_box_occupancy,det_pred_box_occupancy,det_abs_box_occupancy_error,seg_gt_mask_occupancy,seg_pred_mask_occupancy,seg_abs_mask_occupancy_error
00082,7,5,6,-2,-1,2,1,0.333358007851,0.421746171159,0.08838816330799998,0.1660841063509065,0.18065297578275052,0.014568869431844017
00083,7,4,8,-3,1,3,1,0.341570549072,0.397565688522,0.05599513945000001,0.18303795783908858,0.23188357239499977,0.04884561455591119
00084,8,5,6,-3,-2,3,2,0.35672313826,0.48895665749,0.13223351922999999,0.18695409190990608,0.17762566180375,0.009328430106156083
00085,6,5,8,-1,2,1,2,0.361749345823,0.39153660310500005,0.029787257282000046,0.18263406738402174,0.23357408150375064,0.0509400141197289
00086,6,5,8,-1,2,1,2,0.352955410438,0.37298620551899997,0.020030795080999975,0.16803843749043068,0.21452670972150034,0.04648827223106966
00087,6,8,7,2,1,2,1,0.359086076621,0.6128982267540001,0.25381215013300007,0.1656433253357006,0.21720257066075013,0.051559245325049546
00088,6,9,6,3,0,3,0,0.359525858629,0.6455757860019999,0.28604992737299995,0.1867915689759404,0.19230892682375,0.005517357847809601
00089,5,6,6,1,1,1,1,0.36078941332599995,0.411950112356,0.051160699030000034,0.15800877375737835,0.1601149142362498,0.002106140478871449
00090,6,6,7,0,1,0,1,0.267913241642,0.42809136704600004,0.16017812540400006,0.16303819358441213,0.18159485077800058,0.018556657193588455
00091,6,7,7,1,1,1,1,0.26486080098599996,0.442697977396,0.17783717641000002,0.16320915344936004,0.20523439566099916,0.04202524221163911
00092,6,5,9,-1,3,1,3,0.27849988332000003,0.300417481614,0.021917598293999974,0.16873094968964192,0.2538908645005003,0.08515991481085838
00093,6,5,7,-1,1,1,1,0.295981582535,0.317465592609,0.02148401007399997,0.16866150670026533,0.20688371631549962,0.03822220961523429
00094,6,6,8,0,2,0,2,0.302756245608,0.47890984705899997,0.17615360145099995,0.16250820012791745,0.21019957074624995,0.04769137061833251
00095,6,5,7,-1,1,1,1,0.340040673757,0.374205647107,0.034164973350000016,0.165505883883867,0.1749477970447497,0.009441913160882692
00096,6,4,7,-2,1,2,1,0.30180204984,0.340297107754,0.03849505791400004,0.170468994104073,0.16995864322600057,0.0005103508780724408
00097,6,5,6,-1,0,1,0,0.299049475529,0.484703107385,0.18565363185599998,0.16001036892224918,0.15495662508624986,0.005053743835999325
00098,5,4,5,-1,0,1,0,0.302988422704,0.415822408905,0.11283398620099999,0.15654803372488912,0.1465711887170005,0.009976845007888618
00099,5,5,5,0,0,0,0,0.29847650620599997,0.428853736267,0.13037723006100005,0.15086299252611302,0.1522655926239999,0.0014026000978868969
00100,5,4,5,-1,0,1,0,0.283286986177,0.34376987825099997,0.06048289207399998,0.14962070766203572,0.13838764999500033,0.01123305766703539
00101,5,2,5,-3,0,3,0,0.224299941072,0.157506658109,0.066793282963,0.13610797879087733,0.13815753368225,0.002049554891372679
00102,5,4,5,-1,0,1,0,0.23736371339499995,0.39017196556699996,0.152808252172,0.14336878039013046,0.13786020702799962,0.005508573362130842
00103,5,3,5,-2,0,2,0,0.22795305427400003,0.279436468344,0.051483414069999955,0.1309864498058041,0.13080940746349953,0.00017704234230456195
00104,5,4,6,-1,1,1,1,0.213906787213,0.43396331508099995,0.22005652786799995,0.13098379718951025,0.13813150008300037,0.007147702893490121
00105,5,4,5,-1,0,1,0,0.19225950691699997,0.339411063338,0.147151556421,0.12674455284801955,0.13480011015450002,0.00805555730648047
00106,5,4,5,-1,0,1,0,0.18504713364899997,0.33954064530899997,0.15449351166,0.1238587473071795,0.13129328029549966,0.007434532988320169
00107,5,3,4,-2,-1,2,1,0.194157002929,0.233004454867,0.03884745193799999,0.12316092765636832,0.1383462046839996,0.015185277027631283
00108,5,3,4,-2,-1,2,1,0.19337051234,0.27283890105099995,0.07946838871099995,0.11941454667793483,0.13686412525849972,0.017449578580564895
00109,5,2,4,-3,-1,3,1,0.19043506244199998,0.19081532224900002,0.000380259807000044,0.1153214212685647,0.13318571562550033,0.017864294356935623
00110,4,3,5,-1,1,1,1,0.186325745153,0.22710023687800002,0.04077449172500003,0.1091005993890315,0.1599023082469998,0.05080170885796831
00111,4,4,5,0,1,0,1,0.19174107000899998,0.34048987452400004,0.14874880451500005,0.10733338077196919,0.1280553605029998,0.0207219797310306
00112,4,2,4,-2,0,2,0,0.205014972981,0.17967297453699999,0.025341998444000008,0.10733965455066974,0.1764104630219998,0.06907080847133007
00113,4,2,4,-2,0,2,0,0.230709268714,0.21376162617,0.016947642543999997,0.10672115996404496,0.17312495625349988,0.06640379628945492
00114,3,2,4,-1,1,1,1,0.244677128979,0.222341144968,0.02233598401100001,0.10280671420558285,0.11367822039649958,0.01087150619091673
00115,3,2,3,-1,0,1,0,0.243548310594,0.21482365653799998,0.028724654056000026,0.09796416656310392,0.09962034192550025,0.001656175362396331
00116,3,2,3,-1,0,1,0,0.23918108986000003,0.21314232351499998,0.026038766345000047,0.09727237707445546,0.09986765781450027,0.0025952807400448086
00117,3,2,3,-1,0,1,0,0.161248975412,0.214537218852,0.053288243439999994,0.09257137332738008,0.09769326119600003,0.005121887868619945
00118,3,1,3,-2,0,2,0,0.160409128903,0.111385339555,0.04902378934799999,0.09014901506180317,0.09129129262349948,0.0011422775616963116
00119,3,2,3,-1,0,1,0,0.137133638826,0.15355163520300003,0.016417996377000033,0.0834912671753476,0.08790360364550036,0.004412336470152753
00120,3,1,3,-2,0,2,0,0.116437296429,0.073221391276,0.043215905153,0.07521894528880813,0.08161671345550006,0.006397768166691936
00121,3,1,3,-2,0,2,0,0.101476128685,0.066936475064,0.034539653621000005,0.07361087176661574,0.07738923324599965,0.0037783614793839154
00122,3,1,3,-2,0,2,0,0.05674935,0.06633301613399999,0.00958366613399999,0.06403187450303083,0.06839624843650013,0.004364373933469307
00123,3,2,4,-1,1,1,1,0.055073921139999996,0.114412734012,0.059338812872000005,0.05575496578129968,0.07469174270850039,0.018936776927200707
00124,3,2,2,-1,-1,1,1,0.056627162982000004,0.116931805127,0.06030464214499999,0.0528592768175864,0.05779948628499981,0.0049402094674134145
00125,4,2,2,-2,-2,2,2,0.063017102852,0.113118983462,0.050101880609999996,0.06195650177321638,0.05643435876749993,0.005522143005716448
00126,4,2,2,-2,-2,2,2,0.072658845573,0.11649230435599998,0.04383345878299999,0.05726851751276493,0.05503022456550022,0.002238292947264714
00127,3,2,2,-1,-1,1,1,0.069526829336,0.10133017248599999,0.03180334314999998,0.05676263392547454,0.05222434079599991,0.004538293129474624
00128,3,2,2,-1,-1,1,1,0.06501836976200001,0.092225366642,0.027206996879999987,0.05357566508580719,0.05060104496550011,0.002974620120307081
00129,3,3,3,0,0,0,0,0.07200826338,0.119839200816,0.04783093743599999,0.049821807512657974,0.05276030581499981,0.002938498302341837
00130,3,2,4,-1,1,1,1,0.079152621348,0.09333651015000001,0.014183888802000014,0.0496236017282186,0.0562043529515005,0.006580751223281903
00131,3,3,5,0,2,0,2,0.093550096339,0.133179828828,0.03962973248900001,0.049115547938039184,0.06960269600849994,0.02048714807046076
00132,3,2,4,-1,1,1,1,0.091523342899,0.100690077776,0.00916673487700001,0.043062549590840105,0.05519955355900001,0.012137003968159907
00133,3,2,3,-1,0,1,0,0.08881016118599999,0.11054598756600001,0.021735826380000017,0.03832296597829443,0.0435220171867501,0.005199051208455666
00134,3,2,4,-1,1,1,1,0.08258980123000001,0.097082289232,0.014492488001999995,0.04366584866641099,0.046187077950000155,0.002521229283589166
00135,3,2,3,-1,0,1,0,0.082665176202,0.102336310228,0.019671134025999987,0.045249808203138286,0.042608458767000146,0.0026413494361381407
00136,4,2,2,-2,-2,2,2,0.080577984977,0.10121899763600001,0.020641012659000008,0.04651355331780961,0.035935331944999996,0.010578221372809615
00137,3,2,5,-1,2,1,2,0.078826309165,0.10173531152000001,0.022909002355000013,0.04517650826506481,0.0628146177095,0.017638109444435196
00138,4,2,4,-2,0,2,0,0.084685276018,0.100516416379,0.015831140361,0.05167028671135415,0.06091141762000029,0.009241130908646138
00139,4,2,3,-2,-1,2,1,0.09813554079100001,0.10986392784900001,0.011728387058,0.059479410327295854,0.06456363802100042,0.005084227693704563
00140,4,3,4,-1,0,1,0,0.103626964835,0.1347682571114,0.0311412922764,0.058083770785562386,0.08798394314174995,0.029900172356187568
00141,4,3,3,-1,-1,1,1,0.112783980484,0.128952502185,0.016168521701000013,0.05806423871558418,0.060494744531249915,0.002430505815665736
00142,5,3,4,-2,-1,2,1,0.119752976897,0.139134150618,0.019381173720999997,0.05664424292088399,0.06390180425475003,0.007257561333866042
00143,4,3,5,-1,1,1,1,0.123648802814,0.144805630262,0.021156827448,0.059374035505158185,0.06889756380099998,0.009523528295841799
00144,4,3,5,-1,1,1,1,0.128338073716,0.14773619714,0.01939812342399999,0.05984953829121886,0.06989376102474977,0.010044222733530908
00145,3,3,4,0,1,0,1,0.129525930423,0.151614934215,0.02208900379199999,0.061890671682354514,0.07052084982449974,0.008630178142145228
00146,3,3,4,0,1,0,1,0.12442088391200001,0.139489763402,0.015068879489999992,0.06693455936208959,0.06669490269125007,0.0002396566708395137
00147,4,3,3,-1,-1,1,1,0.135204929474,0.148249750733,0.013044821259,0.07429229289014763,0.07494789505150001,0.000655602161352381
00148,4,3,3,-1,-1,1,1,0.106500115634,0.14975747338999998,0.04325735775599998,0.07834683974886868,0.07025820946200029,0.00808863028686839
00149,4,3,3,-1,-1,1,1,0.115082766643,0.159054278847,0.04397151220399999,0.0812859251898676,0.07499996883725021,0.006285956352617389
00150,4,3,3,-1,-1,1,1,0.12138811577,0.153038910522,0.031650794752,0.08531611706234075,0.07259979904625019,0.012716318016090564
00151,4,4,3,0,-1,0,1,0.133657292741,0.17170428893220002,0.03804699619120003,0.08628930622011499,0.08131285173550015,0.0049764544846148395
00152,4,4,3,0,-1,0,1,0.139466134375,0.18168358559499997,0.04221745121999998,0.08586058296092812,0.07909706970450028,0.006763513256427836
00153,4,4,5,0,1,0,1,0.146301458689,0.18147335122899996,0.03517189253999997,0.08483965339978572,0.08641264591624974,0.0015729925164640196
00154,4,3,4,-1,0,1,0,0.16001612132800003,0.17265565832200003,0.012639536994,0.08657310956975017,0.07236758272675033,0.014205526842999847
00155,4,3,4,-1,0,1,0,0.181973986349,0.205920319257,0.023946332907999995,0.08556303007332211,0.0815689539949997,0.003994076078322417
00156,5,3,3,-2,-2,2,2,0.1832603625,0.222279749084,0.039019386584000004,0.0856409164202746,0.07855472196274985,0.007086194457524758
00157,5,3,4,-2,-1,2,1,0.18658618731899998,0.198674333275,0.012088145956000024,0.0906175260956544,0.08641935581725006,0.004198170278404342
00158,5,3,4,-2,-1,2,1,0.19103242638200002,0.191294966706,0.0002625403239999713,0.0924879441797534,0.08896261519249984,0.003525328987253551
00159,5,3,5,-2,0,2,0,0.193913907861,0.19871363613100002,0.0047997282700000254,0.09628182756347586,0.09551004140775024,0.0007717861557256234
00160,5,4,4,-1,-1,1,1,0.193474425162,0.2020101005384,0.008535675376399987,0.0965080066434124,0.09080306345600013,0.00570494318741227
00161,4,4,5,0,1,0,1,0.19000538310600001,0.20300567555190002,0.013000292445900008,0.1004839409374971,0.10959631197849982,0.009112371041002723
00162,4,4,5,0,1,0,1,0.20430975862900003,0.21615749515499996,0.011847736525999936,0.10455970294856977,0.1048893407989999,0.0003296378504301367
00163,4,4,6,0,2,0,2,0.211086481888,0.227430687014,0.01634420512599999,0.10203944878716642,0.11379123463475006,0.011751785847583643
00164,5,4,4,-1,-1,1,1,0.21422044220300004,0.22642978056,0.012209338356999944,0.10631173062746958,0.08650610356100018,0.019805627066469406
00165,4,4,6,0,2,0,2,0.22003061872699997,0.23802340188100002,0.017992783154000047,0.10761935710958248,0.1347699671022496,0.027150609992667107
00166,4,4,6,0,2,0,2,0.232873621979,0.25121965628299997,0.018346034303999975,0.11079692172133238,0.1595466855917497,0.04874976387041732
00167,4,5,5,1,1,1,1,0.24495081917300002,0.35203957499899996,0.10708875582599994,0.11516734062256384,0.11568807665200004,0.0005207360294361973
00168,5,5,7,0,2,0,2,0.275163727114,0.29853397362300005,0.023370246509000048,0.12486786496156285,0.1386915121529997,0.01382364719143686
00169,5,5,6,0,1,0,1,0.295470235296,0.3152627445404,0.019792509244400014,0.12696011551076458,0.14239797760425,0.01543786209348541
00170,6,5,4,-1,-2,1,2,0.290167362691,0.31721402685669997,0.027046664165699952,0.13282624191121797,0.12904500130124985,0.003781240609968123
00171,6,5,4,-1,-2,1,2,0.298195708845,0.32441415893579995,0.026218450090799927,0.138962189174632,0.10805763845299961,0.03090455072163238
00172,6,5,4,-1,-2,1,2,0.289711365404,0.318359431268,0.028648065863999983,0.13854311454346302,0.13123046206274971,0.007312652480713305
00173,6,5,6,-1,0,1,0,0.29758786489,0.315429234733,0.017841369843,0.1386759713019646,0.16600921961849993,0.02733324831653533
00174,6,6,6,0,0,0,0,0.30671936704999997,0.39722253697300003,0.09050316992300006,0.1379783941156313,0.13165146684025017,0.006326927275381117
00175,6,5,5,-1,-1,1,1,0.32660047042,0.345734711586,0.019134241165999988,0.1367170612585209,0.11926645312524996,0.017450608133270942
00176,6,5,7,-1,1,1,1,0.28990004293,0.34751760663100006,0.057617563701000074,0.1405073304963793,0.13920791779374936,0.001299412702629954
00177,7,5,7,-2,0,2,0,0.295598494082,0.37718984649599996,0.08159135241399995,0.1477080925858496,0.14768889071200006,1.9201873849544748e-05
00178,7,4,4,-3,-3,3,3,0.31077784601499997,0.322327103976,0.011549257961000037,0.14936270235753052,0.09870002933800015,0.05066267301953037
00179,7,5,7,-2,0,2,0,0.33332399303099997,0.41452623117600007,0.0812022381450001,0.15196711144706787,0.14039939409274996,0.011567717354317913
00180,7,4,7,-3,0,3,0,0.320473402591,0.33455351724399995,0.014080114652999964,0.15092447915249366,0.1332030755232498,0.017721403629243848
00181,7,4,7,-3,0,3,0,0.30447515988299995,0.315010998151,0.01053583826800003,0.1496067250270094,0.14613714418650006,0.0034695808405093287
00182,7,5,9,-2,2,2,2,0.29620687128,0.33557071458599996,0.03936384330599996,0.14961974160452,0.15842873750024988,0.008808995895729893
00183,7,6,8,-1,1,1,1,0.31484820690700005,0.370305215181,0.055457008273999964,0.15032648318580544,0.16037748932324958,0.01005100613744414
00184,7,4,8,-3,1,3,1,0.326659625985,0.301383903525,0.025275722459999983,0.14770592061410814,0.1717338282940004,0.02402790767989227
00185,7,4,7,-3,0,3,0,0.336339715913,0.355124339795,0.01878462388200003,0.14701581748863346,0.1601517291677501,0.013135911679116652
00186,6,5,5,-1,-1,1,1,0.34931828975900003,0.393245002148,0.04392671238899998,0.1464007012990468,0.15311412786349987,0.006713426564453062
00187,6,4,5,-2,-1,2,1,0.32478393281600004,0.336869911616,0.012085978799999952,0.1445319741758938,0.1310307659689996,0.01350120820689421
00188,6,3,7,-3,1,3,1,0.252914556943,0.261119888138,0.008205331194999999,0.14784553038634307,0.17271911301500054,0.024873582628657465
00189,6,5,6,-1,0,1,0,0.251197647939,0.363372414694,0.11217476675499999,0.14808545665311001,0.13955936796899962,0.008526088684110394
00190,6,9,6,3,0,3,0,0.262260737113,0.5495245774514,0.2872638403384,0.14956717999642044,0.11802947117850013,0.03153770881792031
00191,6,6,7,0,1,0,1,0.273436541277,0.37538524948499996,0.10194870820799995,0.14331476305880742,0.16444219791974996,0.02112743486094254
00192,6,8,7,2,1,2,1,0.28234402955800003,0.5522793260662,0.2699352965082,0.1469796465668971,0.15212443836800005,0.005144791801102944
00193,6,7,8,1,2,1,2,0.296419948996,0.4457172900122,0.1492973410162,0.15653211737775186,0.22324637396350036,0.0667142565857485
00194,7,9,7,2,0,2,0,0.30697231846800005,0.5790648675275,0.2720925490594999,0.1646028663578551,0.1526040342914997,0.01199883206635538
00195,7,10,5,3,-2,3,2,0.27074314819699996,0.6759238741570001,0.4051807259600001,0.15745683859997076,0.10271258324999992,0.054744255349970836
00196,7,8,7,1,0,1,0,0.278890510953,0.524080602441,0.24519009148799997,0.16267746807995698,0.17613924209774978,0.013461774017792805
00197,6,9,6,3,0,3,0,0.288688968745,0.6985577724400001,0.40986880369500006,0.16413001570603492,0.15197687578075053,0.012153139925284384
00198,6,10,7,4,1,4,1,0.29469367308499994,0.8610974185379999,0.566403745453,0.16724416662244201,0.17848740572799998,0.011243239105557967
00199,7,7,6,0,-1,0,1,0.287424111364,0.6074322934479999,0.3200081820839999,0.17332344489091822,0.14560754722624997,0.027715897664668254
00200,7,6,6,-1,-1,1,1,0.31340274965000003,0.478730142756,0.16532739310599998,0.17827088326893564,0.16424026302225,0.014030620246685638
00201,7,7,8,0,1,0,1,0.3172263103979999,0.534002348486,0.2167760380880001,0.16900824452915025,0.25317909834650015,0.0841708538173499
00202,7,6,9,-1,2,1,2,0.3178810622340001,0.506148490769,0.18826742853499995,0.1689542350507001,0.27336130599075015,0.10440707094005006
00203,8,7,9,-1,1,1,1,0.337832058602,0.589002062666,0.251170004064,0.18903790501991596,0.23716348506550022,0.04812558004558426
00204,8,5,7,-3,-1,3,1,0.360077503621,0.428337881762,0.068260378141,0.18164834044671294,0.18181426362450026,0.0001659231777873249
00205,8,5,7,-3,-1,3,1,0.372971241304,0.3818448012458,0.008873559941800002,0.1895435457657264,0.15984143263824957,0.029702113127476837
00206,8,6,8,-2,0,2,0,0.39659672143299995,0.499993094941,0.10339637350800007,0.18294102215748675,0.20795368012299983,0.02501265796551308
00207,8,7,8,-1,0,1,0,0.39714708910900004,0.5778387990670001,0.18069170995800005,0.1833207934231328,0.22902767838475024,0.045706884961617456
00208,8,7,6,-1,-2,1,2,0.392119700942,0.558651733823,0.16653203288100005,0.18540412529911954,0.18722877500000012,0.0018246497008805873
00209,7,7,8,0,1,0,1,0.39752226575,0.5456471126110001,0.14812484686100008,0.19181688945659892,0.2643487331610005,0.07253184370440158
00210,7,7,7,0,0,0,0,0.427635962713,0.521186011695,0.09355004898200003,0.19346378488355565,0.17385853385824973,0.019605251025305914
00211,7,7,6,0,-1,0,1,0.43458135910499995,0.49373742899,0.05915606988500005,0.19285566316819658,0.1822915632742501,0.010564099893946466
