frame_index,count,mask_occupancy,count_delta,status,events
185,5,0.15305121527777718,-2,NORMAL,
186,6,0.13537760416666644,1,NORMAL,
187,7,0.16854166666666637,1,NORMAL,
188,7,0.14933810763888838,0,NORMAL,
189,6,0.1142925347222225,-1,NORMAL,
190,7,0.16163845486111078,1,NORMAL,
191,8,0.17348741319444416,1,NORMAL,
192,8,0.1833116319444444,0,ALERT,HIGH_OCCUPANCY
193,7,0.15285807291666692,-1,NORMAL,
194,5,0.1040820312499999,-2,NORMAL,
195,8,0.17635850694444447,3,NORMAL,
196,6,0.15374782986111107,-2,NORMAL,
197,7,0.1758398437500001,1,NORMAL,
198,6,0.15476345486111034,-1,NORMAL,
199,6,0.1645095486111114,0,NORMAL,
200,8,0.2509114583333337,2,ALERT,HIGH_OCCUPANCY
201,8,0.24760850694444492,0,ALERT,HIGH_OCCUPANCY
202,8,0.2104557291666661,0,ALERT,HIGH_OCCUPANCY
203,8,0.2108029513888889,0,ALERT,HIGH_OCCUPANCY
204,9,0.22877387152777803,1,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
205,8,0.2176649305555554,-1,ALERT,HIGH_OCCUPANCY
206,8,0.24022786458333317,0,ALERT,HIGH_OCCUPANCY
207,6,0.18794704861111136,-2,ALERT,HIGH_OCCUPANCY
208,8,0.24025824652777794,2,ALERT,HIGH_OCCUPANCY
209,7,0.17347222222222206,-1,NORMAL,
210,7,0.23353949652777747,0,ALERT,HIGH_OCCUPANCY
211,7,0.23585069444444418,0,ALERT,HIGH_OCCUPANCY
212,6,0.19094401041666678,-1,ALERT,HIGH_OCCUPANCY
213,8,0.20747612847222222,2,ALERT,HIGH_OCCUPANCY
214,7,0.21436414930555495,-1,ALERT,HIGH_OCCUPANCY
215,7,0.20063585069444412,0,ALERT,HIGH_OCCUPANCY
216,7,0.1896180555555564,0,ALERT,HIGH_OCCUPANCY
217,7,0.20892144097222218,0,ALERT,HIGH_OCCUPANCY
218,10,0.22877821180555555,3,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
219,9,0.2097135416666665,-1,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
220,11,0.24432291666666653,2,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
221,8,0.20598524305555604,-3,ALERT,HIGH_OCCUPANCY
222,8,0.23441189236111215,0,ALERT,HIGH_OCCUPANCY
223,9,0.2389670138888895,1,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
224,9,0.2692643229166662,0,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
225,7,0.2185091145833335,-2,ALERT,HIGH_OCCUPANCY
226,8,0.2375954861111118,1,ALERT,HIGH_OCCUPANCY
227,7,0.21243489583333372,-1,ALERT,HIGH_OCCUPANCY
228,9,0.2091818576388882,2,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
229,8,0.20598307291666687,-1,ALERT,HIGH_OCCUPANCY
230,6,0.1630902777777775,-2,NORMAL,
231,8,0.21263671875000068,2,ALERT,HIGH_OCCUPANCY
232,6,0.19529947916666635,-2,ALERT,HIGH_OCCUPANCY
233,9,0.22387369791666603,3,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
234,6,0.13054036458333357,-3,NORMAL,
235,7,0.1516579861111112,1,NORMAL,
236,6,0.13254991319444448,-1,NORMAL,
237,7,0.2540386284722226,1,ALERT,HIGH_OCCUPANCY
238,9,0.2689887152777773,2,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
239,7,0.23415581597222268,-2,ALERT,HIGH_OCCUPANCY
240,8,0.20681206597222168,1,ALERT,HIGH_OCCUPANCY
241,8,0.2860980902777774,0,ALERT,HIGH_OCCUPANCY
242,7,0.18235026041666635,-1,ALERT,HIGH_OCCUPANCY
243,7,0.18840277777777736,0,ALERT,HIGH_OCCUPANCY
244,7,0.16566189236111076,0,NORMAL,
245,9,0.2435937499999999,2,ALERT,HIGH_DENSITY;HIGH_OCCUPANCY
246,8,0.19752604166666748,-1,ALERT,HIGH_OCCUPANCY
247,7,0.1505946180555551,-1,NORMAL,
248,7,0.1981249999999999,0,ALERT,HIGH_OCCUPANCY
249,6,0.17432074652777757,-1,NORMAL,
250,7,0.19823567708333373,1,ALERT,HIGH_OCCUPANCY
251,6,0.17446180555555552,-1,NORMAL,
252,7,0.18697699652777783,1,ALERT,HIGH_OCCUPANCY
253,7,0.18227213541666676,0,ALERT,HIGH_OCCUPANCY
254,7,0.2231488715277778,0,ALERT,HIGH_OCCUPANCY
255,5,0.157612847222222,-2,NORMAL,
256,5,0.1474175347222224,0,NORMAL,
257,6,0.19330946180555547,1,ALERT,HIGH_OCCUPANCY
258,5,0.1635980902777777,-1,NORMAL,
259,5,0.16564236111111166,0,NORMAL,
260,5,0.16263237847222198,0,NORMAL,
261,5,0.18881510416666722,0,ALERT,HIGH_OCCUPANCY
262,5,0.16279730902777773,0,NORMAL,
263,6,0.18690104166666724,1,ALERT,HIGH_OCCUPANCY
264,7,0.23436631944444442,1,ALERT,HIGH_OCCUPANCY
265,6,0.16205078124999941,-1,NORMAL,
266,6,0.14665364583333346,0,NORMAL,
267,6,0.16001519097222183,0,NORMAL,
268,8,0.2105837673611118,2,ALERT,HIGH_OCCUPANCY
269,6,0.16930989583333275,-2,NORMAL,
270,5,0.12581380208333373,-1,NORMAL,
271,5,0.130154079861111,0,NORMAL,
272,7,0.178296440972222,2,NORMAL,
273,5,0.12157552083333367,-2,NORMAL,
274,6,0.1488346354166665,1,NORMAL,
275,6,0.14822482638888917,0,NORMAL,
276,5,0.14415147569444453,-1,NORMAL,
277,4,0.1037608506944443,-1,NORMAL,
278,4,0.09994574652777773,0,NORMAL,
279,4,0.09761935763888925,0,NORMAL,
280,4,0.0909678819444448,0,NORMAL,
281,4,0.09289930555555552,0,NORMAL,
282,4,0.08771050347222228,0,NORMAL,
283,4,0.08578124999999992,0,NORMAL,
284,3,0.07888454861111091,-1,NORMAL,
285,3,0.08105902777777799,0,NORMAL,
286,3,0.07613498263888915,0,NORMAL,
287,3,0.0721180555555554,0,NORMAL,
288,3,0.06788845486111059,0,NORMAL,
289,3,0.06450520833333342,0,NORMAL,
290,2,0.04924262152777789,-1,NORMAL,
291,2,0.04847873263888908,0,NORMAL,
292,3,0.05534071180555597,1,NORMAL,
293,2,0.04310112847222236,-1,NORMAL,
294,2,0.03881076388888874,0,NORMAL,
295,2,0.035316840277777733,0,NORMAL,
296,1,0.025355902777777967,-1,NORMAL,
297,3,0.03027777777777757,2,NORMAL,
298,2,0.02564019097222206,-1,NORMAL,
299,2,0.03574652777777801,0,NORMAL,
300,1,0.002361111111111147,-1,NORMAL,
301,1,0.016258680555555627,0,NORMAL,
302,1,0.016098090277777588,0,NORMAL,
303,0,0.0,-1,ALERT,EMPTY_SCENE
304,0,0.0,0,ALERT,EMPTY_SCENE
305,0,0.0,0,ALERT,EMPTY_SCENE
306,1,0.004008246527777676,1,NORMAL,
307,0,0.0,-1,ALERT,EMPTY_SCENE
308,0,0.0,0,ALERT,EMPTY_SCENE
309,0,0.0,0,ALERT,EMPTY_SCENE
310,0,0.0,0,ALERT,EMPTY_SCENE
311,0,0.0,0,ALERT,EMPTY_SCENE
312,0,0.0,0,ALERT,EMPTY_SCENE
313,0,0.0,0,ALERT,EMPTY_SCENE
314,0,0.0,0,ALERT,EMPTY_SCENE
315,0,0.0,0,ALERT,EMPTY_SCENE
316,0,0.0,0,ALERT,EMPTY_SCENE
317,0,0.0,0,ALERT,EMPTY_SCENE
318,0,0.0,0,ALERT,EMPTY_SCENE
