frame_index,event_type,count,mask_occupancy,count_delta
412,EMPTY_SCENE,0,0.0,0
413,EMPTY_SCENE,0,0.0,0
414,EMPTY_SCENE,0,0.0,0
415,EMPTY_SCENE,0,0.0,0
416,EMPTY_SCENE,0,0.0,0
417,EMPTY_SCENE,0,0.0,0
418,EMPTY_SCENE,0,0.0,0
419,EMPTY_SCENE,0,0.0,0
420,EMPTY_SCENE,0,0.0,0
421,EMPTY_SCENE,0,0.0,0
422,EMPTY_SCENE,0,0.0,0
423,EMPTY_SCENE,0,0.0,0
424,EMPTY_SCENE,0,0.0,0
425,EMPTY_SCENE,0,0.0,0
426,EMPTY_SCENE,0,0.0,0
427,EMPTY_SCENE,0,0.0,0
428,EMPTY_SCENE,0,0.0,0
429,EMPTY_SCENE,0,0.0,0
430,EMPTY_SCENE,0,0.0,0
431,EMPTY_SCENE,0,0.0,0
432,EMPTY_SCENE,0,0.0,0
433,EMPTY_SCENE,0,0.0,0
434,EMPTY_SCENE,0,0.0,0
435,EMPTY_SCENE,0,0.0,0
436,EMPTY_SCENE,0,0.0,0
437,EMPTY_SCENE,0,0.0,0
438,EMPTY_SCENE,0,0.0,0
439,EMPTY_SCENE,0,0.0,0
440,EMPTY_SCENE,0,0.0,0
441,EMPTY_SCENE,0,0.0,0
442,EMPTY_SCENE,0,0.0,0
443,EMPTY_SCENE,0,0.0,0
444,EMPTY_SCENE,0,0.0,0
445,EMPTY_SCENE,0,0.0,0
446,EMPTY_SCENE,0,0.0,0
447,EMPTY_SCENE,0,0.0,0
448,EMPTY_SCENE,0,0.0,0
449,EMPTY_SCENE,0,0.0,0
450,EMPTY_SCENE,0,0.0,0
451,EMPTY_SCENE,0,0.0,0
452,EMPTY_SCENE,0,0.0,0
453,EMPTY_SCENE,0,0.0,0
454,EMPTY_SCENE,0,0.0,0
455,EMPTY_SCENE,0,0.0,0
456,EMPTY_SCENE,0,0.0,0
457,EMPTY_SCENE,0,0.0,0
458,EMPTY_SCENE,0,0.0,0
459,EMPTY_SCENE,0,0.0,0
460,EMPTY_SCENE,0,0.0,0
461,EMPTY_SCENE,0,0.0,0
462,EMPTY_SCENE,0,0.0,0
463,EMPTY_SCENE,0,0.0,0
464,EMPTY_SCENE,0,0.0,0
465,EMPTY_SCENE,0,0.0,0
466,EMPTY_SCENE,0,0.0,0
467,EMPTY_SCENE,0,0.0,0
468,EMPTY_SCENE,0,0.0,0
469,EMPTY_SCENE,0,0.0,0
470,EMPTY_SCENE,0,0.0,0
471,EMPTY_SCENE,0,0.0,0
472,EMPTY_SCENE,0,0.0,0
473,EMPTY_SCENE,0,0.0,0
474,EMPTY_SCENE,0,0.0,0
475,EMPTY_SCENE,0,0.0,0
476,EMPTY_SCENE,0,0.0,0
477,EMPTY_SCENE,0,0.0,0
478,EMPTY_SCENE,0,0.0,0
479,EMPTY_SCENE,0,0.0,0
480,EMPTY_SCENE,0,0.0,0
481,EMPTY_SCENE,0,0.0,0
482,EMPTY_SCENE,0,0.0,0
483,EMPTY_SCENE,0,0.0,0
484,EMPTY_SCENE,0,0.0,0
485,EMPTY_SCENE,0,0.0,0
486,EMPTY_SCENE,0,0.0,0
487,EMPTY_SCENE,0,0.0,0
488,EMPTY_SCENE,0,0.0,0
489,EMPTY_SCENE,0,0.0,0
490,EMPTY_SCENE,0,0.0,0
491,EMPTY_SCENE,0,0.0,0
492,EMPTY_SCENE,0,0.0,0
493,EMPTY_SCENE,0,0.0,0
494,EMPTY_SCENE,0,0.0,0
495,EMPTY_SCENE,0,0.0,0
496,EMPTY_SCENE,0,0.0,0
497,EMPTY_SCENE,0,0.0,0
498,EMPTY_SCENE,0,0.0,0
499,EMPTY_SCENE,0,0.0,0
500,EMPTY_SCENE,0,0.0,0
501,EMPTY_SCENE,0,0.0,0
502,EMPTY_SCENE,0,0.0,0
503,EMPTY_SCENE,0,0.0,0
504,EMPTY_SCENE,0,0.0,0
505,EMPTY_SCENE,0,0.0,0
506,EMPTY_SCENE,0,0.0,0
507,EMPTY_SCENE,0,0.0,0
508,EMPTY_SCENE,0,0.0,0
509,EMPTY_SCENE,0,0.0,0
510,EMPTY_SCENE,0,0.0,0
511,EMPTY_SCENE,0,0.0,0
512,EMPTY_SCENE,0,0.0,0
513,EMPTY_SCENE,0,0.0,0
514,EMPTY_SCENE,0,0.0,0
515,EMPTY_SCENE,0,0.0,0
516,EMPTY_SCENE,0,0.0,0
517,EMPTY_SCENE,0,0.0,0
518,EMPTY_SCENE,0,0.0,0
519,EMPTY_SCENE,0,0.0,0
520,EMPTY_SCENE,0,0.0,0
521,EMPTY_SCENE,0,0.0,0
522,EMPTY_SCENE,0,0.0,0
523,EMPTY_SCENE,0,0.0,0
524,EMPTY_SCENE,0,0.0,0
525,EMPTY_SCENE,0,0.0,0
526,EMPTY_SCENE,0,0.0,0
527,EMPTY_SCENE,0,0.0,0
528,EMPTY_SCENE,0,0.0,0
529,EMPTY_SCENE,0,0.0,0
530,EMPTY_SCENE,0,0.0,0
531,EMPTY_SCENE,0,0.0,0
532,EMPTY_SCENE,0,0.0,0
533,EMPTY_SCENE,0,0.0,0
534,EMPTY_SCENE,0,0.0,0
535,EMPTY_SCENE,0,0.0,0
536,EMPTY_SCENE,0,0.0,0
537,EMPTY_SCENE,0,0.0,0
538,EMPTY_SCENE,0,0.0,0
539,EMPTY_SCENE,0,0.0,0
540,EMPTY_SCENE,0,0.0,0
541,EMPTY_SCENE,0,0.0,0
542,EMPTY_SCENE,0,0.0,0
543,EMPTY_SCENE,0,0.0,0
544,EMPTY_SCENE,0,0.0,0
545,EMPTY_SCENE,0,0.0,0
546,EMPTY_SCENE,0,0.0,0
547,EMPTY_SCENE,0,0.0,0
548,EMPTY_SCENE,0,0.0,0
549,EMPTY_SCENE,0,0.0,0
550,EMPTY_SCENE,0,0.0,0
551,EMPTY_SCENE,0,0.0,0
552,EMPTY_SCENE,0,0.0,0
553,EMPTY_SCENE,0,0.0,0
554,EMPTY_SCENE,0,0.0,0
555,EMPTY_SCENE,0,0.0,0
556,EMPTY_SCENE,0,0.0,0
557,EMPTY_SCENE,0,0.0,0
558,EMPTY_SCENE,0,0.0,0
559,EMPTY_SCENE,0,0.0,0
560,EMPTY_SCENE,0,0.0,0
561,EMPTY_SCENE,0,0.0,0
562,EMPTY_SCENE,0,0.0,0
563,EMPTY_SCENE,0,0.0,0
564,EMPTY_SCENE,0,0.0,0
565,EMPTY_SCENE,0,0.0,0
566,EMPTY_SCENE,0,0.0,0
567,EMPTY_SCENE,0,0.0,0
568,EMPTY_SCENE,0,0.0,0
569,EMPTY_SCENE,0,0.0,0
570,EMPTY_SCENE,0,0.0,0
571,EMPTY_SCENE,0,0.0,0
572,EMPTY_SCENE,0,0.0,0
573,EMPTY_SCENE,0,0.0,0
574,EMPTY_SCENE,0,0.0,0
575,EMPTY_SCENE,0,0.0,0
576,EMPTY_SCENE,0,0.0,0
577,EMPTY_SCENE,0,0.0,0
578,EMPTY_SCENE,0,0.0,0
579,EMPTY_SCENE,0,0.0,0
580,EMPTY_SCENE,0,0.0,0
581,EMPTY_SCENE,0,0.0,0
582,EMPTY_SCENE,0,0.0,0
583,EMPTY_SCENE,0,0.0,0
584,EMPTY_SCENE,0,0.0,0
585,EMPTY_SCENE,0,0.0,0
586,EMPTY_SCENE,0,0.0,0
587,EMPTY_SCENE,0,0.0,0
588,EMPTY_SCENE,0,0.0,0
589,EMPTY_SCENE,0,0.0,0
590,EMPTY_SCENE,0,0.0,0
591,EMPTY_SCENE,0,0.0,0
592,EMPTY_SCENE,0,0.0,0
593,EMPTY_SCENE,0,0.0,0
594,EMPTY_SCENE,0,0.0,0
595,EMPTY_SCENE,0,0.0,0
596,EMPTY_SCENE,0,0.0,0
597,EMPTY_SCENE,0,0.0,0
598,EMPTY_SCENE,0,0.0,0
599,EMPTY_SCENE,0,0.0,0
600,EMPTY_SCENE,0,0.0,0
601,EMPTY_SCENE,0,0.0,0
602,EMPTY_SCENE,0,0.0,0
603,EMPTY_SCENE,0,0.0,0
604,EMPTY_SCENE,0,0.0,0
605,EMPTY_SCENE,0,0.0,0
606,EMPTY_SCENE,0,0.0,0
607,EMPTY_SCENE,0,0.0,0
608,EMPTY_SCENE,0,0.0,0
609,EMPTY_SCENE,0,0.0,0
610,EMPTY_SCENE,0,0.0,0
611,EMPTY_SCENE,0,0.0,0
612,EMPTY_SCENE,0,0.0,0
613,EMPTY_SCENE,0,0.0,0
614,EMPTY_SCENE,0,0.0,0
615,EMPTY_SCENE,0,0.0,0
616,EMPTY_SCENE,0,0.0,0
617,EMPTY_SCENE,0,0.0,0
618,EMPTY_SCENE,0,0.0,0
619,EMPTY_SCENE,0,0.0,0
620,EMPTY_SCENE,0,0.0,0
621,EMPTY_SCENE,0,0.0,0
622,EMPTY_SCENE,0,0.0,0
623,EMPTY_SCENE,0,0.0,0
624,EMPTY_SCENE,0,0.0,0
625,EMPTY_SCENE,0,0.0,0
626,EMPTY_SCENE,0,0.0,0
627,EMPTY_SCENE,0,0.0,0
628,EMPTY_SCENE,0,0.0,0
629,EMPTY_SCENE,0,0.0,0
630,EMPTY_SCENE,0,0.0,0
631,EMPTY_SCENE,0,0.0,0
632,EMPTY_SCENE,0,0.0,0
633,EMPTY_SCENE,0,0.0,0
